Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak
proto13_pre-stim_sw104,10214.84,10215.94,13.0,pre-stim,10215.17,10215.64
proto13_pre-stim_sw105,10238.6,10239.84,13.0,pre-stim,10238.89,10239.42
proto13_pre-stim_sw141,10258.94,10260.45,13.0,pre-stim,10259.44,10260.07
proto13_pre-stim_sw42,10276.94,10278.06,13.0,pre-stim,10277.26,10277.78
proto13_early-stim_sw1,10327.49,10328.73,13.0,early-stim,10327.83,10328.44
proto13_early-stim_sw10,10345.74,10347.36,13.0,early-stim,10346.18,10346.77
proto13_early-stim_sw21,10394.44,10396.22,13.0,early-stim,10394.71,10395.77
proto13_late-stim_sw1,10399.49,10401.16,13.0,late-stim,10399.75,10400.84
proto13_late-stim_sw11,10412.36,10413.54,13.0,late-stim,10412.6,10413.12
proto13_late-stim_sw12,10434.7,10436.45,13.0,late-stim,10435.05,10436.1
proto13_late-stim_sw25,10468.05,10469.44,13.0,late-stim,10468.44,10469.08
proto13_late-stim_sw46,10481.8,10483.2,13.0,late-stim,10482.15,10482.81
proto13_post-stim_sw1,10577.82,10579.44,13.0,post-stim,10578.08,10579.12
proto13_post-stim_sw10,10652.6,10653.91,13.0,post-stim,10653.01,10653.56
proto13_post-stim_sw100,10679.97,10681.3,13.0,post-stim,10680.38,10680.92
proto13_post-stim_sw170,10701.55,10703.38,13.0,post-stim,10701.93,10703.01
