Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto5_late-stim_sw100,4113.17,4115.06,5.0,late-stim,4113.95,4114.51,E37,-49.31215798321364
proto5_late-stim_sw102,4139.58,4140.78,5.0,late-stim,4139.91,4140.47,E37,-57.047555484281325
proto5_late-stim_sw103,4144.02,4145.46,5.0,late-stim,4144.27,4145.22,E37,-42.09429167630257
proto5_late-stim_sw104,4147.6,4148.71,5.0,late-stim,4147.94,4148.45,E37,-78.97342789978943
proto5_post-stim_sw1,4298.45,4300.33,5.0,post-stim,4299.15,4299.79,E1,-55.26721123884274
proto5_post-stim_sw10,4310.13,4311.14,5.0,post-stim,4310.38,4310.85,E4,-51.714860745052
proto5_post-stim_sw103,4355.44,4356.9,5.0,post-stim,4355.83,4356.68,E18,-71.4659122370395
proto5_post-stim_sw113,4360.56,4361.39,5.0,post-stim,4360.84,4361.25,E19,-57.532958510009166
proto6_pre-stim_sw1,4648.96,4651.07,6.0,pre-stim,4650.16,4650.72,E4,-42.60155474258349
proto6_pre-stim_sw30,4657.07,4658.17,6.0,pre-stim,4657.4,4657.89,E105,-54.43282900775796
proto6_pre-stim_sw45,4670.79,4672.4,6.0,pre-stim,4671.1,4671.7,E166,-56.63996630713055
proto6_early-stim_sw1,4696.9,4698.7,6.0,early-stim,4697.78,4698.31,E4,-43.16246818082391
proto6_early-stim_sw27,4711.63,4713.24,6.0,early-stim,4712.0,4712.91,E101,-49.582003844956375
proto6_late-stim_sw1,4774.0,4775.54,6.0,late-stim,4774.32,4774.83,E136,-44.196618069048554
proto6_post-stim_sw1,4802.0,4803.35,6.0,post-stim,4802.39,4803.11,E10,-71.31896995275451
proto6_post-stim_sw10,4819.27,4820.95,6.0,post-stim,4820.01,4820.52,E32,-42.73657770535441
proto7_pre-stim_sw1,5107.76,5109.7,7.0,pre-stim,5108.73,5109.31,E4,-43.7884491743381
proto7_pre-stim_sw11,5171.65,5173.37,7.0,pre-stim,5172.09,5173.1,E18,-48.65911011954485
proto7_pre-stim_sw12,5264.41,5266.52,7.0,pre-stim,5265.32,5265.85,E18,-41.5783262872272
proto7_early-stim_sw1,5374.15,5375.98,7.0,early-stim,5375.13,5375.62,E12,-41.23671534518251
proto7_late-stim_sw1,5488.39,5489.86,7.0,late-stim,5488.73,5489.21,E13,-40.86449985262941
