Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto1_early-stim_sw46,370.74,372.0,1.0,early-stim,371.2,371.75,E136,-44.53599168924624
proto1_early-stim_sw47,370.77,372.01,1.0,early-stim,371.19,371.75,E137,-47.19944928423311
proto1_early-stim_sw48,370.79,372.01,1.0,early-stim,371.2,371.75,E138,-48.72076535231443
proto1_early-stim_sw49,370.78,372.01,1.0,early-stim,371.2,371.75,E139,-48.24733486481889
proto1_early-stim_sw5,371.39,372.36,1.0,early-stim,371.66,372.11,E4,-40.86109522464005
proto1_early-stim_sw50,287.19,288.79,1.0,early-stim,287.51,288.06,E146,-64.53358802206189
proto1_early-stim_sw51,370.73,371.99,1.0,early-stim,371.19,371.75,E146,-43.338130771693116
proto1_early-stim_sw52,370.77,372.01,1.0,early-stim,371.19,371.75,E148,-47.60473741606319
proto1_early-stim_sw53,370.77,372.0,1.0,early-stim,371.19,371.75,E149,-47.163602122440736
proto1_early-stim_sw54,370.76,372.0,1.0,early-stim,371.19,371.74,E150,-48.21690558119562
proto1_early-stim_sw55,287.18,288.78,1.0,early-stim,287.5,288.05,E167,-62.52694344436618
proto1_early-stim_sw56,287.17,288.59,1.0,early-stim,287.47,287.98,E177,-49.21593282720906
proto1_early-stim_sw57,287.15,288.5,1.0,early-stim,287.45,287.95,E178,-42.34777733660192
proto1_early-stim_sw58,287.14,288.56,1.0,early-stim,287.45,287.95,E189,-41.746136909593616
proto1_early-stim_sw59,281.1,282.16,1.0,early-stim,281.33,281.86,E223,-58.155466896893905
proto1_early-stim_sw6,281.07,282.12,1.0,early-stim,281.29,281.79,E5,-45.94317026876721
proto1_early-stim_sw60,281.08,282.18,1.0,early-stim,281.31,281.83,E224,-56.795869931067614
proto1_early-stim_sw7,371.39,372.37,1.0,early-stim,371.66,372.13,E5,-45.5833784923879
proto1_early-stim_sw8,273.76,275.55,1.0,early-stim,274.04,275.14,E10,-50.333239726420366
proto1_early-stim_sw9,315.7,316.87,1.0,early-stim,316.07,316.59,E10,-40.88035639227493
proto1_late-stim_sw1,460.18,461.87,1.0,late-stim,460.6,461.58,E2,-42.313468250064375
proto1_late-stim_sw10,425.33,427.06,1.0,late-stim,425.94,426.44,E31,-40.79484025277391
proto1_late-stim_sw11,468.94,469.97,1.0,late-stim,469.28,469.74,E31,-42.17602287941196
proto1_late-stim_sw12,474.61,476.18,1.0,late-stim,475.28,475.78,E31,-40.42396267249809
proto1_late-stim_sw13,425.32,427.05,1.0,late-stim,425.92,426.43,E32,-40.625734931200675
proto1_late-stim_sw14,412.56,414.26,1.0,late-stim,413.08,413.61,E37,-46.49479294944251
proto1_late-stim_sw15,425.34,427.14,1.0,late-stim,425.93,426.41,E37,-45.478025394261536
proto1_late-stim_sw16,483.22,484.88,1.0,late-stim,483.55,484.53,E37,-50.24005395833184
proto1_late-stim_sw17,483.21,484.87,1.0,late-stim,483.54,484.52,E38,-44.50714083368182
proto1_late-stim_sw18,483.22,484.84,1.0,late-stim,483.55,484.53,E46,-43.9873094885147
proto1_late-stim_sw19,457.42,458.63,1.0,late-stim,457.76,458.3,E90,-48.8075556136356
proto1_late-stim_sw2,460.04,461.88,1.0,late-stim,460.6,461.58,E3,-42.23227938341779
proto1_late-stim_sw20,413.28,415.18,1.0,late-stim,413.97,414.57,E99,-40.85144218316348
proto1_late-stim_sw21,413.33,415.23,1.0,late-stim,414.0,414.68,E101,-43.457638149325426
proto1_late-stim_sw22,457.43,458.53,1.0,late-stim,457.71,458.21,E101,-41.69428930613681
proto1_late-stim_sw23,459.07,460.28,1.0,late-stim,459.44,459.94,E101,-43.091486197629024
proto1_late-stim_sw24,413.33,415.15,1.0,late-stim,414.0,414.6,E109,-43.94726098880483
proto1_late-stim_sw25,413.33,415.19,1.0,late-stim,414.0,414.63,E110,-44.658152016824005
proto1_late-stim_sw26,395.04,396.54,1.0,late-stim,395.4,395.89,E115,-50.696413595070595
proto1_late-stim_sw27,395.06,396.71,1.0,late-stim,395.41,395.92,E116,-54.85700868898465
proto1_late-stim_sw28,413.35,415.17,1.0,late-stim,414.02,414.63,E117,-45.03061835354048
proto1_late-stim_sw29,413.36,415.17,1.0,late-stim,414.01,414.63,E118,-45.03002055641062
proto1_late-stim_sw3,412.64,414.37,1.0,late-stim,413.14,414.05,E10,-41.43950910777603
proto1_late-stim_sw30,413.36,415.19,1.0,late-stim,414.01,414.63,E119,-48.22907964813392
proto1_late-stim_sw31,413.37,415.16,1.0,late-stim,414.02,414.62,E126,-44.933753372034325
proto1_late-stim_sw32,413.38,415.15,1.0,late-stim,414.0,414.61,E127,-44.56454744115021
proto1_late-stim_sw33,413.38,415.19,1.0,late-stim,413.99,414.62,E128,-49.12280167254866
proto1_late-stim_sw34,413.36,415.21,1.0,late-stim,413.97,414.63,E129,-43.18611792285435
proto1_late-stim_sw35,413.37,415.13,1.0,late-stim,414.0,414.61,E138,-41.904766187117986
proto1_late-stim_sw36,413.37,415.14,1.0,late-stim,414.0,414.61,E139,-42.983157132394595
proto1_late-stim_sw37,413.38,415.13,1.0,late-stim,413.96,414.58,E140,-50.091874963188204
proto1_late-stim_sw38,413.38,415.12,1.0,late-stim,413.93,414.57,E141,-48.83222290143313
proto1_late-stim_sw39,413.37,414.97,1.0,late-stim,413.88,414.53,E152,-45.2408539000341
proto1_late-stim_sw4,459.93,461.92,1.0,late-stim,460.59,461.61,E10,-52.515571564051704
proto1_late-stim_sw5,459.92,461.94,1.0,late-stim,460.57,461.6,E11,-50.71358108001083
proto1_late-stim_sw6,459.86,461.92,1.0,late-stim,460.56,461.58,E12,-43.05195473445927
proto1_late-stim_sw7,459.88,461.94,1.0,late-stim,460.56,461.6,E18,-55.97948624177012
