Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto8_pre-stim_sw13,6015.75,6017.57,8.0,pre-stim,6016.19,6017.28,E18,-51.37357978114304
proto8_pre-stim_sw14,6020.07,6022.09,8.0,pre-stim,6020.35,6021.77,E18,-55.47252043396324
proto8_pre-stim_sw6,6015.97,6017.51,8.0,pre-stim,6016.32,6017.34,E10,-144.07341925237074
proto8_early-stim_sw1,6158.09,6159.92,8.0,early-stim,6158.85,6159.42,E1,-79.06751358415531
proto8_early-stim_sw11,6114.34,6115.21,8.0,early-stim,6114.62,6115.05,E18,-106.21466857534399
proto8_late-stim_sw1,6207.54,6208.88,8.0,late-stim,6207.78,6208.27,E1,-42.21354437849156
proto8_late-stim_sw10,6209.71,6212.18,8.0,late-stim,6210.94,6211.54,E25,-98.10078028202145
proto8_late-stim_sw22,6199.08,6201.21,8.0,late-stim,6199.41,6200.87,E46,-125.87485602852306
proto8_post-stim_sw1,6286.57,6288.34,8.0,post-stim,6287.21,6287.91,E1,-45.44963159351302
proto8_post-stim_sw10,6411.32,6412.26,8.0,post-stim,6411.61,6412.06,E31,-84.94792035303655
proto8_post-stim_sw11,6427.57,6429.19,8.0,post-stim,6428.33,6428.87,E31,-41.16224752412681
proto8_post-stim_sw16,6411.37,6413.39,8.0,post-stim,6412.05,6413.02,E38,-89.7752506907619
proto9_pre-stim_sw1,7059.11,7060.99,9.0,pre-stim,7059.47,7060.56,E3,-51.66676723480798
proto9_pre-stim_sw6,7059.13,7060.95,9.0,pre-stim,7059.47,7060.59,E18,-97.98666491120379
proto9_pre-stim_sw9,7174.81,7177.09,9.0,pre-stim,7175.81,7176.52,E226,-49.42752539342493
proto9_early-stim_sw5,7256.96,7258.92,9.0,early-stim,7257.29,7258.32,E10,-163.67768350406268
proto9_late-stim_sw3,7342.63,7344.66,9.0,late-stim,7343.45,7343.99,E10,-93.48127192111461
proto9_late-stim_sw4,7386.57,7388.39,9.0,late-stim,7386.96,7387.8,E10,-118.2907033052661
proto10_pre-stim_sw3,7889.3,7891.34,10.0,pre-stim,7889.76,7890.83,E10,-108.3214791960053
proto10_pre-stim_sw7,7889.14,7890.67,10.0,pre-stim,7889.42,7889.9,E37,-88.41118405460736
proto10_late-stim_sw2,8057.19,8059.0,10.0,late-stim,8057.74,8058.37,E11,-49.1213607292373
proto10_post-stim_sw22,8153.45,8154.3,10.0,post-stim,8153.72,8154.18,E226,-143.48832672256714
proto10_post-stim_sw6,8171.79,8173.77,10.0,post-stim,8172.6,8173.44,E38,-79.92606063560572
proto11_pre-stim_sw1,8343.19,8344.75,11.0,pre-stim,8343.55,8344.45,E2,-50.25135684693396
proto11_pre-stim_sw11,8419.8,8421.71,11.0,pre-stim,8420.13,8421.35,E46,-117.25660479864473
proto11_early-stim_sw1,8464.54,8466.03,11.0,early-stim,8464.89,8465.81,E1,-83.89436224343332
proto11_early-stim_sw3,8464.51,8466.06,11.0,early-stim,8464.86,8465.78,E10,-99.1280422172025
proto11_early-stim_sw4,8475.78,8477.43,11.0,early-stim,8476.17,8476.75,E10,-75.92191289751547
proto11_late-stim_sw1,8563.32,8565.14,11.0,late-stim,8564.17,8564.75,E18,-64.17038962745204
proto11_post-stim_sw10,8635.86,8637.6,11.0,post-stim,8636.3,8637.43,E46,-113.95172639671372
proto12_pre-stim_sw12,9009.32,9011.37,12.0,pre-stim,9010.14,9010.7,E241,-57.09439979410485
proto12_early-stim_sw15,9180.16,9181.52,12.0,early-stim,9180.55,9181.1,E62,-65.61612198389446
proto12_late-stim_sw2,9280.93,9282.44,12.0,late-stim,9281.23,9282.05,E98,-64.4426308285968
proto12_post-stim_sw15,9345.63,9346.95,12.0,post-stim,9345.94,9346.71,E84,-68.68522033656232
proto12_post-stim_sw58,9424.21,9425.86,12.0,post-stim,9424.53,9425.49,E126,-73.81729298073823
proto12_post-stim_sw86,9461.02,9462.54,12.0,post-stim,9461.34,9461.88,E168,-50.519050928760265
proto13_pre-stim_sw100,10135.58,10136.76,13.0,pre-stim,10135.87,10136.51,E33,-73.10161722649626
proto13_pre-stim_sw101,10136.76,10137.77,13.0,pre-stim,10137.0,10137.48,E33,-48.437614532631144
proto13_pre-stim_sw103,10139.75,10141.22,13.0,pre-stim,10140.14,10140.75,E33,-86.3444667475234
proto13_pre-stim_sw104,10214.84,10215.94,13.0,pre-stim,10215.17,10215.64,E33,-41.0611146361371
proto13_pre-stim_sw117,10139.8,10141.22,13.0,pre-stim,10140.18,10140.81,E37,-98.51859534008712
